ICD,Cancer,Number in Males,Number in Females,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
C00-97/C44,Allcancersexcl.non-melanomaskincancer,5491214,4403188,[9658540.0-10136000.0],126.9,100.1,25.51
C33-34,Lung,1188679,607465,[1767550.0-1825200.0],23,18,5.26
C18-21,Colorectum,515637,419536,Notavailable,12,9,3.38
C22,Liver,577522,252658,[807132.0-853886.0],10.7,8.7,2.09
C16,Stomach,502788,266005,[748622.0-789507.0],9.9,7.7,2.28
C50,Breast,0,684996,[675493.0-694633.0],17.7,13.6,3.14
C15,Oesophagus,374313,169763,[526214.0-562544.0],7,5.6,1.47
C25,Pancreas,246840,219163,[459505.0-472593.0],6,4.5,1.58
C61,Prostate,375304,0,[367846.0-382913.0],9.5,7.7,4.26
C53,Cervixuteri,0,341831,[324231.0-360386.0],8.8,7.3,1.23
C91-95,Leukaemia,177818,133776,[304294.0-319069.0],4,3.3,0.83
"C82-86, C96",Non-Hodgkinlymphoma,147217,112576,[254450.0-265248.0],3.3,2.6,0.79
C70-72,"Brain,centralnervoussystem",138277,113052,[244434.0-258418.0],3.2,2.8,0.54
C67,Bladder,158785,53751,[204920.0-220435.0],2.7,1.9,0.89
C56,Ovary,0,207252,[196974.0-218066.0],5.4,4.2,0.92
C64-65,Kidney,115600,63768,[175167.0-183670.0],2.3,1.8,0.57
C00-06,"Lip,oralcavity",125022,52735,[167836.0-188264.0],2.3,1.9,0.39
C88+C90,Multiplemyeloma,65197,51880,[109930.0-124689.0],1.5,1.1,0.39
C32,Larynx,85351,14489,[92804.7-107409.0],1.3,1,0.26
C54,Corpusuteri,0,97370,[90992.0-104195.0],2.5,1.8,0.52
C23,Gallbladder,30265,54430,[79002.0-90798.3],1.1,0.84,0.27
C11,Nasopharynx,58094,21914,[72848.3-87871.3],1,0.88,0.15
C43,Melanomaofskin,32385,24658,[52174.6-62365.7],0.73,0.56,0.19
C09-10,Oropharynx,39590,8553,[43341.8-53476.1],0.62,0.51,0.11
C73,Thyroid,15906,27740,[39999.2-47625.3],0.56,0.43,0.14
C12-13,Hypopharynx,32303,6296,[34237.5-43516.2],0.5,0.41,0.09
C45,Mesothelioma,18681,7597,[22796.4-30291.3],0.34,0.25,0.09
C81,Hodgkinlymphoma,14288,9088,[20171.4-27089.8],0.3,0.26,0.05
C07-08,Salivaryglands,13353,9425,[19119.2-27137.0],0.29,0.23,0.06
C51,Vulva,0,17427,[14496.7-20949.6],0.45,0.3,0.11
C46,Kaposisarcoma,9929,5157,[10200.2-22312.0],0.19,0.18,0.02
C60,Penis,13211,0,[10686.7-16331.5],0.34,0.29,0.09
C62,Testis,9334,0,[7477.0-11652.2],0.24,0.22,0.03
C52,Vagina,0,7995,[5982.6-10684.2],0.21,0.16,0.04
